id_process_stage| id_process| id_stage| id_status_stage| start_date| end_date
1|2021167596|1|2|2021-08-02|2021-08-02
2|2021202484|1|2|2021-09-16|2021-09-16
3|2021231164|1|2|2021-10-12|2021-10-12
4|2021238231|1|2|2021-10-26|2021-10-26
5|2021262233|1|2|2021-11-30|2021-11-30
6|2021270694|1|2|2021-11-30|2021-11-30
7|2021263585|1|2|2021-12-01|2021-12-01
8|2021268811|1|2|2021-12-09|2021-12-09
9|2021268814|1|2|2021-12-10|2021-12-10
10|2022008144|1|2|2022-01-12|2022-01-12
11|2022015560|1|2|2022-01-25|2022-01-25
12|2022019123|1|2|2022-01-27|2022-01-27
13|2022021239|1|2|2022-02-01|2022-02-01
14|2022022067|1|2|2022-02-02|2022-02-02
15|2022022327|1|2|2022-02-02|2022-02-02
16|2022030299|1|2|2022-02-14|2022-02-14
17|2022038327|1|2|2022-02-23|2022-02-23
18|2022038589|1|2|2022-02-23|2022-02-23
19|2022062504|1|2|2022-03-23|2022-03-23
20|2022063636|1|2|2022-03-24|2022-03-24
21|2022071361|1|2|2022-04-04|2022-04-04
22|2022072947|1|2|2022-04-06|2022-04-06
23|2022089630|1|2|2022-04-29|2022-04-29
24|2022089729|1|2|2022-04-29|2022-04-29
25|2022091983|1|2|2022-05-03|2022-05-03
26|2022105176|1|2|2022-05-20|2022-05-20
27|2022106491|1|2|2022-05-23|2022-05-23
28|2022107532|1|2|2022-05-25|2022-05-25
29|2022107533|1|2|2022-05-25|2022-05-25
30|2022107535|1|2|2022-05-25|2022-05-25
31|2022111635|1|2|2022-06-01|2022-06-01
32|2021167596|2|2|2021-08-02|2021-08-04
33|2021202484|2|2|2021-09-16|2021-09-20
34|2021231164|2|2|2021-10-12|2021-10-14
35|2021238231|2|2|2021-10-26|2021-10-28
36|2021262233|2|2|2021-11-30|2021-12-02
37|2021270694|2|2|2021-11-30|2021-12-02
38|2021263585|2|2|2021-12-01|2021-12-03
39|2021268811|2|2|2021-12-09|2021-12-13
40|2021268814|2|2|2021-12-10|2021-12-14
41|2022008144|2|2|2022-01-12|2022-01-14
42|2022015560|2|2|2022-01-25|2022-01-27
43|2022019123|2|2|2022-01-27|2022-01-31
44|2022021239|2|2|2022-02-01|2022-02-03
45|2022022067|2|2|2022-02-02|2022-02-04
46|2022022327|2|2|2022-02-02|2022-02-04
47|2022030299|2|2|2022-02-14|2022-02-16
48|2022038327|2|2|2022-02-23|2022-02-25
49|2022038589|2|2|2022-02-23|2022-02-25
50|2022062504|2|2|2022-03-23|2022-03-25
51|2022063636|2|2|2022-03-24|2022-03-28
52|2022071361|2|2|2022-04-04|2022-04-06
53|2022072947|2|2|2022-04-06|2022-04-08
54|2022089630|2|2|2022-04-29|2022-05-03
55|2022089729|2|2|2022-04-29|2022-05-03
56|2022091983|2|2|2022-05-03|2022-05-05
57|2022105176|2|2|2022-05-20|2022-05-24
58|2022106491|2|2|2022-05-23|2022-05-25
59|2022107532|2|2|2022-05-25|2022-05-27
60|2022107533|2|2|2022-05-25|2022-05-27
61|2022107535|2|2|2022-05-25|2022-05-27
62|2022111635|2|2|2022-06-01|2022-06-03
63|2021167596|3|2|2021-08-04|2021-08-09
64|2021202484|3|2|2021-09-20|2021-09-23
65|2021231164|3|2|2021-10-14|2021-10-19
66|2021238231|3|2|2021-10-28|2021-11-02
67|2021262233|3|2|2021-12-02|2021-12-07
68|2021270694|3|2|2021-12-02|2021-12-07
69|2021263585|3|2|2021-12-03|2021-12-08
70|2021268811|3|2|2021-12-13|2021-12-16
71|2021268814|3|2|2021-12-14|2021-12-17
72|2022008144|3|2|2022-01-14|2022-01-19
73|2022015560|3|2|2022-01-27|2022-02-01
74|2022019123|3|2|2022-01-31|2022-02-03
75|2022021239|3|2|2022-02-03|2022-02-08
76|2022022067|3|2|2022-02-04|2022-02-09
77|2022022327|3|2|2022-02-04|2022-02-09
78|2022030299|3|2|2022-02-16|2022-02-21
79|2022038327|3|2|2022-02-25|2022-03-02
80|2022038589|3|2|2022-02-25|2022-03-02
81|2022062504|3|2|2022-03-25|2022-03-30
82|2022063636|3|2|2022-03-28|2022-03-31
83|2022071361|3|2|2022-04-06|2022-04-11
84|2022072947|3|2|2022-04-08|2022-04-13
85|2022089630|3|2|2022-05-03|2022-05-06
86|2022089729|3|2|2022-05-03|2022-05-06
87|2022091983|3|2|2022-05-05|2022-05-10
88|2022105176|3|2|2022-05-24|2022-05-27
89|2022106491|3|2|2022-05-25|2022-05-30
90|2022107532|3|2|2022-05-27|2022-06-01
91|2022107533|3|2|2022-05-27|2022-06-01
92|2022107535|3|2|2022-05-27|2022-06-01
93|2022111635|3|2|2022-06-03|2022-06-08
94|2021167596|4|2|2021-08-09|2021-08-19
95|2021202484|4|2|2021-09-23|2021-10-05
96|2021231164|4|2|2021-10-19|2021-10-29
97|2021238231|4|2|2021-11-02|2021-11-12
98|2021262233|4|2|2021-12-07|2021-12-17
99|2021270694|4|2|2021-12-07|2021-12-17
100|2021263585|4|2|2021-12-08|2021-12-20
101|2021268811|4|2|2021-12-16|2021-12-28
102|2021268814|4|2|2021-12-17|2021-12-29
103|2022008144|4|2|2022-01-19|2022-01-31
104|2022015560|4|2|2022-02-01|2022-02-11
105|2022019123|4|2|2022-02-03|2022-02-15
106|2022021239|4|2|2022-02-08|2022-02-18
107|2022022067|4|2|2022-02-09|2022-02-21
108|2022022327|4|2|2022-02-09|2022-02-21
109|2022030299|4|2|2022-02-21|2022-03-03
110|2022038327|4|2|2022-03-02|2022-03-14
111|2022038589|4|2|2022-03-02|2022-03-14
112|2022062504|4|2|2022-03-30|2022-04-11
113|2022063636|4|2|2022-03-31|2022-04-12
114|2022071361|4|2|2022-04-11|2022-04-21
115|2022072947|4|2|2022-04-13|2022-04-25
116|2022089630|4|2|2022-05-06|2022-05-18
117|2022089729|4|2|2022-05-06|2022-05-18
118|2022091983|4|2|2022-05-10|2022-05-20
119|2022105176|4|2|2022-05-27|2022-06-08
120|2022106491|4|2|2022-05-30|2022-06-09
121|2022107532|4|2|2022-06-01|2022-06-13
122|2022107533|4|2|2022-06-01|2022-06-13
123|2022107535|4|2|2022-06-01|2022-06-13
124|2022111635|4|2|2022-06-08|2022-06-20
125|2021167596|5|2|2021-08-19|2021-08-31
126|2021202484|5|2|2021-10-05|2021-10-15
127|2021231164|5|2|2021-10-29|2021-11-10
128|2021238231|5|2|2021-11-12|2021-11-24
129|2021262233|5|2|2021-12-17|2021-12-29
130|2021270694|5|2|2021-12-17|2021-12-29
131|2021263585|5|2|2021-12-20|2021-12-30
132|2021268811|5|2|2021-12-28|2022-01-07
133|2021268814|5|2|2021-12-29|2022-01-10
134|2022008144|5|2|2022-01-31|2022-02-10
135|2022015560|5|2|2022-02-11|2022-02-23
136|2022019123|5|2|2022-02-15|2022-02-25
137|2022021239|5|2|2022-02-18|2022-03-02
138|2022022067|5|2|2022-02-21|2022-03-03
139|2022022327|5|2|2022-02-21|2022-03-03
140|2022030299|5|2|2022-03-03|2022-03-15
141|2022038327|5|2|2022-03-14|2022-03-24
142|2022038589|5|2|2022-03-14|2022-03-24
143|2022062504|5|2|2022-04-11|2022-04-21
144|2022063636|5|2|2022-04-12|2022-04-22
145|2022071361|5|2|2022-04-21|2022-05-03
146|2022072947|5|2|2022-04-25|2022-05-05
147|2022089630|5|2|2022-05-18|2022-05-30
148|2022089729|5|2|2022-05-18|2022-05-30
149|2022091983|5|2|2022-05-20|2022-06-01
150|2022105176|5|2|2022-06-08|2022-06-20
151|2022106491|5|2|2022-06-09|2022-06-21
152|2022107532|5|2|2022-06-13|2022-06-23
153|2022107533|5|2|2022-06-13|2022-06-23
154|2022107535|5|2|2022-06-13|2022-06-23
155|2022111635|5|2|2022-06-20|2022-06-30
156|2021167596|6|2|2021-08-31|2021-09-07
157|2021202484|6|2|2021-10-15|2021-10-22
158|2021231164|6|2|2021-11-10|2021-11-17
159|2021238231|6|2|2021-11-24|2021-12-01
160|2021262233|6|2|2021-12-29|2022-01-05
161|2021270694|6|2|2021-12-29|2022-01-05
162|2021263585|6|2|2021-12-30|2022-01-06
163|2021268811|6|2|2022-01-07|2022-01-14
164|2021268814|6|2|2022-01-10|2022-01-17
165|2022008144|6|2|2022-02-10|2022-02-17
166|2022015560|6|2|2022-02-23|2022-03-02
167|2022019123|6|2|2022-02-25|2022-03-04
168|2022021239|6|2|2022-03-02|2022-03-09
169|2022022067|6|2|2022-03-03|2022-03-10
170|2022022327|6|2|2022-03-03|2022-03-10
171|2022030299|6|2|2022-03-15|2022-03-22
172|2022038327|6|2|2022-03-24|2022-03-31
173|2022038589|6|2|2022-03-24|2022-03-31
174|2022062504|6|2|2022-04-21|2022-04-28
175|2022063636|6|2|2022-04-22|2022-04-29
176|2022071361|6|2|2022-05-03|2022-05-10
177|2022072947|6|2|2022-05-05|2022-05-12
178|2022089630|6|2|2022-05-30|2022-06-06
179|2022089729|6|2|2022-05-30|2022-06-06
180|2022091983|6|2|2022-06-01|2022-06-08
181|2022105176|6|2|2022-06-20|2022-06-27
182|2022106491|6|2|2022-06-21|2022-06-28
183|2022107532|6|2|2022-06-23|2022-06-30
184|2022107533|6|2|2022-06-23|2022-06-30
185|2022107535|6|2|2022-06-23|2022-06-30
186|2022111635|6|2|2022-06-30|2022-07-07
187|2021167596|7|2|2021-09-07|2021-09-09
188|2021202484|7|2|2021-10-22|2021-10-26
189|2021231164|7|2|2021-11-17|2021-11-19
190|2021238231|7|2|2021-12-01|2021-12-03
191|2021262233|7|2|2022-01-05|2022-01-07
192|2021270694|7|2|2022-01-05|2022-01-07
193|2021263585|7|2|2022-01-06|2022-01-10
194|2021268811|7|2|2022-01-14|2022-01-18
195|2021268814|7|2|2022-01-17|2022-01-19
196|2022008144|7|2|2022-02-17|2022-02-21
197|2022015560|7|2|2022-03-02|2022-03-04
198|2022019123|7|2|2022-03-04|2022-03-08
199|2022021239|7|2|2022-03-09|2022-03-11
200|2022022067|7|2|2022-03-10|2022-03-14
201|2022022327|7|2|2022-03-10|2022-03-14
202|2022030299|7|2|2022-03-22|2022-03-24
203|2022038327|7|2|2022-03-31|2022-04-04
204|2022038589|7|2|2022-03-31|2022-04-04
205|2022062504|7|2|2022-04-28|2022-05-02
206|2022063636|7|2|2022-04-29|2022-05-03
207|2022071361|7|2|2022-05-10|2022-05-12
208|2022072947|7|2|2022-05-12|2022-05-16
209|2022089630|7|2|2022-06-06|2022-06-08
210|2022089729|7|2|2022-06-06|2022-06-08
211|2022091983|7|2|2022-06-08|2022-06-10
212|2022105176|7|2|2022-06-27|2022-06-29
213|2022106491|7|2|2022-06-28|2022-06-30
214|2022107532|7|2|2022-06-30|2022-07-04
215|2022107533|7|2|2022-06-30|2022-07-04
216|2022107535|7|2|2022-06-30|2022-07-04
217|2022111635|7|2|2022-07-07|2022-07-11
218|2021167596|8|2|2021-09-09|2021-09-10
219|2021202484|8|2|2021-10-26|2021-10-27
220|2021231164|8|2|2021-11-19|2021-11-22
